probabilities,true_labels
0.86297226,1
0.6672875,0
0.44453347,1
0.16275492,0
0.08163809,0
0.57172716,1
0.3689279,0
0.3941371,0
0.3436251,1
0.034836583,0
0.7019342,1
0.1752073,0
0.42333478,1
0.4419589,1
0.7314845,1
0.02441223,0
0.15884882,0
0.012032923,0
0.22371826,0
0.6325291,0
0.5269833,1
0.11752729,0
0.08375509,0
0.6632429,1
0.71296406,0
0.22518353,0
0.13665089,0
0.9140955,1
0.6212806,0
0.12184442,0
0.07508624,0
0.11666597,0
0.9064246,1
0.1475672,0
0.53248996,0
0.44664016,0
0.0037137447,0
0.26377895,0
0.12363733,0
0.40096197,0
0.54985595,0
0.35593623,0
0.3550659,0
0.4444958,0
0.2376088,0
0.90476817,1
0.32235894,0
0.42135152,0
0.87576574,1
0.7773068,0
0.8329773,1
0.38345322,0
0.062100977,0
0.11766368,0
0.8029172,1
0.10574023,0
0.7836043,1
0.22178566,0
0.047573984,0
0.7015942,0
0.11403579,0
0.016639475,0
0.47757432,1
0.1761147,0
0.33799475,0
0.30687833,0
0.16707698,0
0.54794663,1
0.73466146,0
0.060533483,1
0.016261313,0
0.37642932,0
0.60146517,1
0.17738637,0
0.29412597,0
0.69140995,0
0.20544031,0
0.5774856,1
0.0059851534,0
0.03623419,0
0.42148763,0
0.8427037,0
0.027502906,0
0.026625898,0
0.17305017,0
0.77937025,1
0.066663854,0
0.8972159,1
0.67880255,0
0.7189563,1
0.629064,1
0.23607601,0
0.73919356,0
0.5097234,1
0.7545452,0
0.24392965,0
0.65404516,0
0.1617217,0
0.24631537,1
0.056621186,0
0.09720831,0
0.19192062,0
0.40960336,0
0.590145,1
0.14412323,0
0.84432024,0
0.87379104,1
0.83361983,1
0.8036039,0
0.3827195,1
0.6646194,0
0.7279106,0
0.23315059,0
0.7839963,0
0.10228495,0
0.06853188,0
0.17062385,0
0.3691395,0
0.83288926,0
0.15111005,0
0.9074838,1
0.13832095,0
0.20790921,0
0.2046322,0
0.8110242,1
0.19085225,0
0.48190418,0
0.8307527,0
0.36447516,0
0.4525479,0
0.118843295,0
0.5331131,1
0.7822181,1
0.83111537,0
0.03534221,0
0.30601418,0
0.40554687,1
0.81044614,1
0.8924973,1
0.033090837,0
0.080780685,0
0.75738055,1
0.016269179,0
0.37876916,0
0.16353333,0
0.27409342,1
0.4604183,0
0.42702705,1
0.09986735,0
0.6455421,0
0.49953955,0
0.33748862,0
0.1786745,0
0.23589115,0
0.7644315,1
0.34150958,0
0.57113904,0
0.83313817,1
0.091649465,0
0.28808853,0
0.014264047,0
0.83576155,1
0.8112551,1
0.17593187,0
0.17286964,1
0.3411713,0
0.8022279,1
0.76486725,0
0.4595968,0
0.76269513,0
0.63998693,0
0.699472,0
0.80879986,1
0.144339,0
0.25526682,0
0.8057882,1
0.876757,1
0.60969037,1
0.4408624,0
0.8880056,1
0.019934008,0
0.7464469,1
0.11806956,0
0.47574413,0
0.090212904,0
0.1269631,0
0.15521507,0
0.15094,0
0.5336737,0
0.7745757,1
0.09073442,0
0.6077331,0
0.27853844,0
0.8620623,0
0.075156026,0
0.5127762,0
0.4320389,0
0.1274706,0
0.11308674,0
0.7847514,1
0.86725026,1
0.9278281,1
0.8067336,1
0.10302491,0
0.37651724,0
0.37683195,0
0.78076124,1
0.090339184,0
0.71663713,1
0.57207775,0
0.16241185,0
0.8547663,1
0.44200823,0
0.78083575,1
0.0025362824,0
0.22066104,0
0.19400959,0
0.058151457,0
0.7041724,1
0.8957957,1
0.11013163,0
0.13513729,0
0.09653564,0
0.06854634,0
0.7976887,0
0.33068952,0
0.30599505,0
0.84927136,0
0.13967176,0
0.44881648,0
0.164091,0
0.067336924,0
0.6152832,1
0.5750051,0
0.6384239,1
0.75109977,1
0.2024398,0
0.4580906,0
0.41269693,0
0.7563965,1
0.2941333,1
0.077242,0
0.1423272,0
0.78956074,0
0.15046582,0
0.7127563,0
0.77740407,1
0.743871,0
0.07227249,0
0.17263472,0
0.0103054745,0
0.16075312,0
0.24941818,0
0.67721224,0
0.005971806,0
0.8302649,1
0.80211854,1
0.67763996,1
0.21697478,0
0.23969544,0
0.03306965,0
0.009832896,0
0.114997,0
0.89675444,1
0.20717102,0
0.71120983,0
0.06270829,0
0.61030626,1
0.9276285,1
0.05425105,0
0.38748494,0
0.2996994,0
0.37330976,0
0.8096849,1
0.8496904,1
0.18138398,0
0.7446439,0
0.39957634,0
0.13441956,0
0.28465274,0
0.14435019,0
0.81329024,1
0.12216665,0
0.7492322,1
0.041561168,0
0.11274305,0
0.08944267,0
0.072173774,0
0.8946271,1
0.15951811,0
0.73167974,1
0.74031013,1
0.81610405,1
0.19258243,0
0.121012166,0
0.14763601,0
0.7674275,1
0.058830988,0
0.5524102,0
0.8332204,1
0.25714195,0
0.82893384,0
0.31404892,0
0.7644948,0
0.32385457,0
0.28912145,1
0.8794906,1
0.054344136,0
0.31633785,1
0.5380864,0
0.8024051,1
0.76193863,0
0.16036274,0
0.15693028,0
0.32502666,0
0.027887389,0
0.85369253,1
0.1254498,0
0.33418214,0
0.04326546,0
0.24327287,0
0.27537376,0
0.102882475,0
0.5230518,0
0.5971158,1
0.38075906,0
0.6058526,0
0.10222479,0
0.10821178,0
0.018308092,0
