probabilities,true_labels
0.86268646,1
0.68588334,0
0.47318348,1
0.13980915,0
0.07878259,0
0.551137,1
0.35182703,0
0.39775807,0
0.33434188,1
0.033988986,0
0.70753634,1
0.18114556,0
0.37793455,1
0.465733,1
0.7339479,1
0.020341171,0
0.12406437,0
0.01138052,0
0.21751179,0
0.65918416,0
0.56523097,1
0.10469535,0
0.07692525,0
0.66190517,1
0.71823716,0
0.20969124,0
0.13185579,0
0.9098507,1
0.62746406,0
0.11115574,0
0.054045465,0
0.11942445,0
0.90768945,1
0.15338594,0
0.5677167,0
0.4344997,0
0.003439174,0
0.26354268,0
0.112555966,0
0.37526903,0
0.56687206,0
0.35402936,0
0.3298,0
0.43636495,0
0.23729074,0
0.90164596,1
0.30089778,0
0.39647397,0
0.88624156,1
0.7851958,0
0.8377922,1
0.38732135,0
0.07484354,0
0.12165556,0
0.8145969,1
0.12393829,0
0.79172575,1
0.22780982,0
0.045595057,0
0.6780627,0
0.11031255,0
0.01632839,0
0.484684,1
0.14307587,0
0.32491186,0
0.3126515,0
0.14150122,0
0.56502116,1
0.7592814,0
0.057564817,1
0.017093599,0
0.36907977,0
0.6223359,1
0.15831187,0
0.31544772,0
0.6928181,0
0.20328678,0
0.58113825,1
0.006261331,0
0.034245033,0
0.41393778,0
0.8638739,0
0.02388246,0
0.023986202,0
0.17626551,0
0.78713506,1
0.06927685,0
0.89955276,1
0.69306064,0
0.719767,1
0.66067684,1
0.22666931,0
0.7531404,0
0.4955544,1
0.7627511,0
0.2143404,0
0.6673175,0
0.13276847,0
0.26268083,1
0.048088416,0
0.09732648,0
0.20037024,0
0.4440521,0
0.6092646,1
0.13309449,0
0.844781,0
0.868875,1
0.8368206,1
0.81010884,0
0.4341474,1
0.6748477,0
0.7407271,0
0.20883282,0
0.7902601,0
0.099695794,0
0.060177777,0
0.15174107,0
0.35587326,0
0.8419677,0
0.13714188,0
0.90949404,1
0.15837677,0
0.20081551,0
0.1679755,0
0.80787456,1
0.1976553,0
0.41863614,0
0.8342761,0
0.39677098,0
0.4512718,0
0.11904456,0
0.5573651,1
0.780725,1
0.84823406,0
0.03225693,0
0.30229664,0
0.37501284,1
0.80755454,1
0.8955227,1
0.038729824,0
0.07147652,0
0.7537432,1
0.016397271,0
0.33020237,0
0.16988666,0
0.2464468,1
0.49168193,0
0.4018337,1
0.07524752,0
0.6634464,0
0.50283533,0
0.36047524,0
0.16631319,0
0.21366614,0
0.77166814,1
0.3684286,0
0.5852665,0
0.8376877,1
0.09667184,0
0.29839844,0
0.013131679,0
0.8371671,1
0.8048531,1
0.18315056,0
0.1689237,1
0.35634726,0
0.79487824,1
0.7609911,0
0.50674427,0
0.7647175,0
0.6498219,0
0.7027632,0
0.8054075,1
0.14435455,0
0.2669689,0
0.81446856,1
0.88387734,1
0.6324367,1
0.4421812,0
0.9036676,1
0.015781235,0
0.753982,1
0.1061683,0
0.4746591,0
0.07853862,0
0.10752732,0
0.14477381,0
0.14152381,0
0.5465635,0
0.7752908,1
0.08111131,0
0.60407925,0
0.30626145,0
0.86486876,0
0.06997201,0
0.530021,0
0.43758026,0
0.132761,0
0.09126181,0
0.79267144,1
0.8725624,1
0.92604494,1
0.8006792,1
0.09176103,0
0.39745942,0
0.3962743,0
0.80191875,1
0.09147733,0
0.7283217,1
0.5814744,0
0.16711272,0
0.85233825,1
0.44387957,0
0.7884997,1
0.0022693323,0
0.19487198,0
0.19344784,0
0.05847284,0
0.7123209,1
0.8941649,1
0.09239619,0
0.117372036,0
0.10312388,0
0.06463826,0
0.8003941,0
0.35541907,0
0.29629672,0
0.8667198,0
0.13056307,0
0.46736145,0
0.15092647,0
0.059752733,0
0.61298454,1
0.5797312,0
0.6523489,1
0.77836144,1
0.18039024,0
0.45565376,0
0.41116077,0
0.76477736,1
0.30755442,1
0.07281154,0
0.12861736,0
0.7964012,0
0.1473008,0
0.7173756,0
0.7898367,1
0.7548011,0
0.066347145,0
0.15721872,0
0.009755188,0
0.14965735,0
0.26167998,0
0.7055615,0
0.0064156186,0
0.83915746,1
0.80713725,1
0.68516815,1
0.20009997,0
0.23825806,0
0.026321894,0
0.010515296,0
0.115647405,0
0.8895138,1
0.20193556,0
0.72842884,0
0.061619334,0
0.6419797,1
0.9260163,1
0.044397023,0
0.39478448,0
0.27711704,0
0.36399266,0
0.8054682,1
0.849388,1
0.15838338,0
0.7538334,0
0.39713737,0
0.13549809,0
0.2729069,0
0.13672127,0
0.83297074,1
0.109882034,0
0.7366372,1
0.031658724,0
0.1033125,0
0.086384386,0
0.07101252,0
0.89985216,1
0.15318087,0
0.7291777,1
0.7534027,1
0.82108235,1
0.19298582,0
0.13121098,0
0.16026533,0
0.7744153,1
0.057155285,0
0.57309365,0
0.8411435,1
0.266714,0
0.82884026,0
0.36202362,0
0.7578462,0
0.33842644,0
0.25759795,1
0.88047874,1
0.05295455,0
0.29026353,1
0.5439508,0
0.8056977,1
0.77554446,0
0.14783669,0
0.14577599,0
0.3328883,0
0.02683355,0
0.8529918,1
0.109136164,0
0.3315904,0
0.046357546,0
0.27143204,0
0.26888433,0
0.088354334,0
0.53012514,0
0.6116346,1
0.38339683,0
0.6123885,0
0.09274708,0
0.10374386,0
0.016868724,0
0.14831352,0
0.11595962,0
0.7006886,1
0.3773814,1
0.24121921,0
0.5443972,1
0.074825734,0
0.7607463,0
0.78901315,1
0.8263172,1
0.7626852,1
0.08481662,0
0.47048485,1
0.63458586,1
0.21862616,0
0.122239225,0
0.060419098,0
0.7951222,1
0.28887472,0
0.43691614,0
0.8152711,1
0.8434517,0
0.23957103,0
0.008756887,0
0.57951343,1
0.22468275,0
0.5522227,0
0.032480974,0
0.7196281,1
0.38539958,0
0.1744057,0
0.051148716,0
0.29403195,0
0.57309,1
0.06537155,1
0.315952,0
0.06362432,0
0.23916027,0
0.88654923,1
0.3363724,0
0.7335547,1
0.017217375,0
0.12308366,0
0.88170415,0
0.22014041,0
0.24850614,0
0.006906336,0
0.17740716,0
0.8382858,1
0.8651179,1
0.8754897,1
0.1538376,0
0.06427686,0
0.7508817,1
0.15472999,0
0.12268767,0
0.078724414,0
0.09046106,0
0.8472452,0
0.08543757,0
0.698218,1
